Dataset: CIFAR10.
Files already downloaded and verified
Files already downloaded and verified
10
The number of class in our training set is  10
Batch size: 2048 Number of channels: 3 input height: 32 input width: 32
# of model parameters: 11181642
<class 'models.resnet.ResNet'>
[epoch: 43] (11/25) | Loss: 0.5069 | top1: 97.3056 | top5: 99.9911
[epoch: 43] (21/25) | Loss: 0.5181 | top1: 96.7564 | top5: 99.9907
[epoch: 44] (1/25) | Loss: 0.5041 | top1: 97.3145 | top5: 100.0000
[epoch: 44] (11/25) | Loss: 0.5382 | top1: 95.7298 | top5: 99.9956
[epoch: 44] (21/25) | Loss: 0.5265 | top1: 95.9775 | top5: 99.9953
[epoch: 45] (1/25) | Loss: 0.5437 | top1: 95.1660 | top5: 100.0000
[epoch: 45] (11/25) | Loss: 0.4840 | top1: 97.3189 | top5: 100.0000
[epoch: 45] (21/25) | Loss: 0.4905 | top1: 96.9006 | top5: 99.9953
[epoch: 46] (1/25) | Loss: 0.4687 | top1: 97.3633 | top5: 100.0000
[epoch: 46] (11/25) | Loss: 0.4713 | top1: 97.4032 | top5: 99.9956
[epoch: 46] (21/25) | Loss: 0.4793 | top1: 97.0052 | top5: 99.9977
[epoch: 47] (1/25) | Loss: 0.4753 | top1: 96.3867 | top5: 100.0000
[epoch: 47] (11/25) | Loss: 0.4708 | top1: 96.8661 | top5: 100.0000
[epoch: 47] (21/25) | Loss: 0.4721 | top1: 96.7239 | top5: 99.9930
[epoch: 48] (1/25) | Loss: 0.4816 | top1: 96.0938 | top5: 100.0000
[epoch: 48] (11/25) | Loss: 0.4788 | top1: 96.3157 | top5: 99.9956
[epoch: 48] (21/25) | Loss: 0.4737 | top1: 96.3867 | top5: 99.9953
[epoch: 49] (1/25) | Loss: 0.4588 | top1: 96.7285 | top5: 100.0000
[epoch: 49] (11/25) | Loss: 0.4691 | top1: 96.3956 | top5: 99.9956
[epoch: 49] (21/25) | Loss: 0.4799 | top1: 95.9101 | top5: 99.9930
[epoch: 50] (1/25) | Loss: 0.5113 | top1: 94.5312 | top5: 100.0000
[epoch: 50] (11/25) | Loss: 0.4736 | top1: 96.0272 | top5: 99.9911
[epoch: 50] (21/25) | Loss: 0.4597 | top1: 96.5332 | top5: 99.9907
[epoch: 51] (1/25) | Loss: 0.4884 | top1: 95.3613 | top5: 100.0000
[epoch: 51] (11/25) | Loss: 0.4704 | top1: 95.6365 | top5: 99.9956
[epoch: 51] (21/25) | Loss: 0.4935 | top1: 94.6661 | top5: 99.9953
[epoch: 52] (1/25) | Loss: 0.4242 | top1: 97.5586 | top5: 100.0000
[epoch: 52] (11/25) | Loss: 0.4184 | top1: 97.6429 | top5: 99.9956
[epoch: 52] (21/25) | Loss: 0.4157 | top1: 97.6958 | top5: 99.9977
[epoch: 53] (1/25) | Loss: 0.4857 | top1: 94.2383 | top5: 100.0000
[epoch: 53] (11/25) | Loss: 0.4329 | top1: 96.6131 | top5: 99.9911
[epoch: 53] (21/25) | Loss: 0.4225 | top1: 97.0424 | top5: 99.9953
[epoch: 54] (1/25) | Loss: 0.3863 | top1: 98.1934 | top5: 100.0000
[epoch: 54] (11/25) | Loss: 0.3831 | top1: 98.3709 | top5: 100.0000
[epoch: 54] (21/25) | Loss: 0.3789 | top1: 98.4375 | top5: 100.0000
[epoch: 55] (1/25) | Loss: 0.4399 | top1: 95.5566 | top5: 100.0000
[epoch: 55] (11/25) | Loss: 0.4133 | top1: 96.8084 | top5: 100.0000
[epoch: 55] (21/25) | Loss: 0.4010 | top1: 97.2470 | top5: 99.9977
[epoch: 56] (1/25) | Loss: 0.3730 | top1: 97.8516 | top5: 99.9512
[epoch: 56] (11/25) | Loss: 0.3813 | top1: 97.6918 | top5: 99.9956
[epoch: 56] (21/25) | Loss: 0.3815 | top1: 97.6214 | top5: 99.9977
[epoch: 57] (1/25) | Loss: 0.3634 | top1: 98.2910 | top5: 100.0000
[epoch: 57] (11/25) | Loss: 0.3868 | top1: 97.3145 | top5: 99.9911
[epoch: 57] (21/25) | Loss: 0.3983 | top1: 96.7820 | top5: 99.9953
[epoch: 58] (1/25) | Loss: 0.3730 | top1: 97.9004 | top5: 100.0000
[epoch: 58] (11/25) | Loss: 0.3953 | top1: 96.7995 | top5: 100.0000
[epoch: 58] (21/25) | Loss: 0.3855 | top1: 97.1610 | top5: 100.0000
[epoch: 59] (1/25) | Loss: 0.4635 | top1: 93.8965 | top5: 100.0000
[epoch: 59] (11/25) | Loss: 0.4238 | top1: 95.5167 | top5: 99.9778
[epoch: 59] (21/25) | Loss: 0.4389 | top1: 94.9009 | top5: 99.9465
[epoch: 60] (1/25) | Loss: 0.3754 | top1: 97.3633 | top5: 100.0000
[epoch: 60] (11/25) | Loss: 0.4126 | top1: 95.9162 | top5: 99.9867
[epoch: 60] (21/25) | Loss: 0.4234 | top1: 95.4125 | top5: 99.9744
[epoch: 61] (1/25) | Loss: 0.3880 | top1: 96.9238 | top5: 99.9512
[epoch: 61] (11/25) | Loss: 0.3917 | top1: 96.5953 | top5: 99.9778
[epoch: 61] (21/25) | Loss: 0.3824 | top1: 96.9564 | top5: 99.9860
[epoch: 62] (1/25) | Loss: 0.5190 | top1: 92.4316 | top5: 99.9512
[epoch: 62] (11/25) | Loss: 0.3963 | top1: 96.3690 | top5: 99.9867
[epoch: 62] (21/25) | Loss: 0.4025 | top1: 96.1472 | top5: 99.9698
[epoch: 63] (1/25) | Loss: 0.3631 | top1: 97.3145 | top5: 100.0000
[epoch: 63] (11/25) | Loss: 0.3520 | top1: 97.8249 | top5: 99.9956
[epoch: 63] (21/25) | Loss: 0.3499 | top1: 97.8702 | top5: 99.9953
[epoch: 64] (1/25) | Loss: 0.3325 | top1: 98.5840 | top5: 100.0000
[epoch: 64] (11/25) | Loss: 0.3579 | top1: 97.2079 | top5: 100.0000
[epoch: 64] (21/25) | Loss: 0.3462 | top1: 97.6446 | top5: 100.0000
[epoch: 65] (1/25) | Loss: 0.3068 | top1: 99.1211 | top5: 100.0000
[epoch: 65] (11/25) | Loss: 0.3250 | top1: 98.2733 | top5: 100.0000
[epoch: 65] (21/25) | Loss: 0.3276 | top1: 98.1771 | top5: 99.9977
[epoch: 66] (1/25) | Loss: 0.3074 | top1: 98.8281 | top5: 100.0000
[epoch: 66] (11/25) | Loss: 0.3100 | top1: 98.6816 | top5: 100.0000
[epoch: 66] (21/25) | Loss: 0.3151 | top1: 98.4096 | top5: 100.0000
[epoch: 67] (1/25) | Loss: 0.3169 | top1: 98.3398 | top5: 100.0000
[epoch: 67] (11/25) | Loss: 0.3231 | top1: 97.9181 | top5: 99.9956
[epoch: 67] (21/25) | Loss: 0.3220 | top1: 97.9399 | top5: 99.9977
[epoch: 68] (1/25) | Loss: 0.3173 | top1: 98.1445 | top5: 100.0000
[epoch: 68] (11/25) | Loss: 0.3189 | top1: 97.9315 | top5: 99.9956
[epoch: 68] (21/25) | Loss: 0.3098 | top1: 98.2864 | top5: 99.9977
[epoch: 69] (1/25) | Loss: 0.3257 | top1: 97.5098 | top5: 100.0000
[epoch: 69] (11/25) | Loss: 0.3184 | top1: 97.8338 | top5: 99.9956
[epoch: 69] (21/25) | Loss: 0.3230 | top1: 97.6260 | top5: 99.9977
[epoch: 70] (1/25) | Loss: 0.3196 | top1: 97.7539 | top5: 100.0000
[epoch: 70] (11/25) | Loss: 0.4017 | top1: 94.7088 | top5: 99.9512
[epoch: 70] (21/25) | Loss: 0.3726 | top1: 95.7310 | top5: 99.9698
[epoch: 71] (1/25) | Loss: 0.3347 | top1: 97.2168 | top5: 100.0000
[epoch: 71] (11/25) | Loss: 0.3651 | top1: 95.8540 | top5: 99.9911
[epoch: 71] (21/25) | Loss: 0.3587 | top1: 96.0868 | top5: 99.9953
[epoch: 72] (1/25) | Loss: 0.3309 | top1: 97.0215 | top5: 100.0000
[epoch: 72] (11/25) | Loss: 0.3421 | top1: 96.8217 | top5: 99.9867
[epoch: 72] (21/25) | Loss: 0.3429 | top1: 96.8192 | top5: 99.9860
[epoch: 73] (1/25) | Loss: 0.3518 | top1: 96.0449 | top5: 100.0000
[epoch: 73] (11/25) | Loss: 0.3161 | top1: 97.5675 | top5: 100.0000
[epoch: 73] (21/25) | Loss: 0.3310 | top1: 96.9727 | top5: 99.9977
[epoch: 74] (1/25) | Loss: 0.2900 | top1: 98.5352 | top5: 100.0000
[epoch: 74] (11/25) | Loss: 0.3200 | top1: 97.4521 | top5: 99.9956
[epoch: 74] (21/25) | Loss: 0.3028 | top1: 98.0911 | top5: 99.9977
[epoch: 75] (1/25) | Loss: 0.2969 | top1: 98.2910 | top5: 100.0000
[epoch: 75] (11/25) | Loss: 0.2889 | top1: 98.6017 | top5: 100.0000
[epoch: 75] (21/25) | Loss: 0.2821 | top1: 98.7793 | top5: 100.0000
[epoch: 76] (1/25) | Loss: 0.2690 | top1: 99.0723 | top5: 100.0000
[epoch: 76] (11/25) | Loss: 0.2980 | top1: 97.8782 | top5: 100.0000
[epoch: 76] (21/25) | Loss: 0.3040 | top1: 97.6446 | top5: 100.0000
[epoch: 77] (1/25) | Loss: 0.3335 | top1: 96.3867 | top5: 100.0000
[epoch: 77] (11/25) | Loss: 0.2893 | top1: 98.1179 | top5: 99.9956
[epoch: 77] (21/25) | Loss: 0.3031 | top1: 97.4981 | top5: 99.9977
[epoch: 78] (1/25) | Loss: 0.3090 | top1: 97.3145 | top5: 100.0000
[epoch: 78] (11/25) | Loss: 0.3007 | top1: 97.5675 | top5: 99.9956
[epoch: 78] (21/25) | Loss: 0.3235 | top1: 96.6983 | top5: 99.9977
[epoch: 79] (1/25) | Loss: 0.3242 | top1: 96.3379 | top5: 100.0000
[epoch: 79] (11/25) | Loss: 0.3068 | top1: 97.2124 | top5: 99.9956
[epoch: 79] (21/25) | Loss: 0.3102 | top1: 97.1354 | top5: 99.9953
